artist,year,track,album,tags,labelid,url,cluster,distance,bpm_essentia
A Humanoid Individual,2019.0,Sweet Bubblegum,Love's Labour,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/sweet-bubblegum,0,0.1848433835358449,128.1
Anode Records,2006.0,End of Days - DJ Shiva rmx,End of Days E.P.,acid house|detroit techno|electronic|hard techno|techno|acid|minimal techno|techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/end-of-days-dj-shiva-rmx,1,0.1848775346764678,137.71
Anode Records,2006.0,End of Days - Matt French rmx,End of Days E.P.,acid house|detroit techno|electronic|hard techno|techno|acid|minimal techno|techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/end-of-days-matt-french-rmx,1,0.1891612140564086,129.01
Anode Records,2006.0,End of Days - Praxis rmx,End of Days E.P.,acid house|detroit techno|electronic|hard techno|techno|acid|minimal techno|techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/end-of-days-praxis-rmx,1,0.2012933006877006,134.55
Anode Records,2006.0,Ron S. - End of Days,End of Days E.P.,acid house|detroit techno|electronic|hard techno|techno|acid|minimal techno|techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/end-of-days,1,0.2162751154718635,134.0
Atman,2017.0,Inevitable,Futuristic Statements EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/inevitable,0,0.1822554816750663,125.96
Atman,2018.0,Late Again,X-Ray,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/late-again,0,0.129942042222382,129.94
Atman,2018.0,Our Future,X-Ray,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/our-future,1,0.2353690837421457,128.0
Atman,2017.0,Subsequent,Futuristic Statements EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/subsequent,0,0.2452110064492373,128.01
Brain Detergent,2015.0,Current Overload,Current Overload EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/current-overload-2,2,0.2443533408664639,133.0
Brain Detergent,2015.0,Parts of the Moon Are In My Room,Current Overload EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/parts-of-the-moon-are-in-my-room,2,0.1067624622287653,129.97
Marcel Videla,2018.0,104,After The Fall,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/104,0,0.2182670730477426,125.99
Monad,2015.0,Red Shift,Third Shift,acid house|detroit techno|electronic|techno|dub techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/red-shift,0,0.203644054661333,127.0
Monad,2015.0,Tilt Shift,Third Shift,acid house|detroit techno|electronic|techno|dub techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/tilt-shift,0,0.2214521961672559,128.1
Oleg Mass,2019.0,Kodboard,Matter Of Fact,electronic|techno|Munich,16,https://credo-rec.bandcamp.com/track/kodboard,2,0.2293446022230402,126.96
Obstruct,2019.0,Serious Allegations,Rest EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/serious-allegations,1,0.1959482750629991,131.93
Obstruct,2019.0,Wrath Of,Rest EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/wrath-of,1,0.2189692475223159,131.9
